
"Twelve Months Ended June 30,"
"($ in millions, except per share amounts)",Revenue,Operating Income,Net Income,Diluted Earnings per Share
2023 As Reported (GAAP),"$211,915","$88,523","$72,361",$9.68
"Severance, hardware-related impairment, and lease consolidation costs",-,"1,171",946,0.13
2023 As Adjusted (non-GAAP),"$211,915","$89,694","$73,307",$9.81
2024 As Reported (GAAP),"$245,122","$109,433","$88,136",$11.80
Percentage Change Y/Y (GAAP),16%,24%,22%,22%
Percentage Change Y/Y Constant Currency,15%,23%,21%,21%
Percentage Change Y/Y (non-GAAP),16%,22%,20%,20%
Percentage Change Y/Y (non-GAAP) Constant Currency,15%,21%,20%,20%
